# ID   log(Xflux)   log(Xlum)   Xclass
       14322      -99.000000      -99.000000   -
       14323      -99.000000      -99.000000   -
       14330      -99.000000      -99.000000   -
       14332      -99.000000      -99.000000   -
       14355      -99.000000      -99.000000   -
       14368      -99.000000      -99.000000   -
       14371      -99.000000      -99.000000   -
       14379      -99.000000      -99.000000   -
       14386      -99.000000      -99.000000   -
       14394      -99.000000      -99.000000   -
       14395      -99.000000      -99.000000   -
       14429      -99.000000      -99.000000   -
       14434      -99.000000      -99.000000   -
       14450      -99.000000      -99.000000   -
       14455      -99.000000      -99.000000   -
       14526      -99.000000      -99.000000   -
       14560      -99.000000      -99.000000   -
       14576      -99.000000      -99.000000   -
       14583      -99.000000      -99.000000   -
       14585      -99.000000      -99.000000   -
       14591      -99.000000      -99.000000   -
       14621      -99.000000      -99.000000   -
       14649      -99.000000      -99.000000   -
       14701      -99.000000      -99.000000   -
       14709      -99.000000      -99.000000   -
       14713      -99.000000      -99.000000   -
       14718      -99.000000      -99.000000   -
       14780      -99.000000      -99.000000   -
       14784      -15.171340       41.743510   AGN
       14795      -99.000000      -99.000000   -
       14810      -99.000000      -99.000000   -
       14821      -99.000000      -99.000000   -
       14865      -99.000000      -99.000000   -
       14877      -99.000000      -99.000000   -
       14883      -99.000000      -99.000000   -
       14886      -99.000000      -99.000000   -
       14888      -99.000000      -99.000000   -
       14895      -99.000000      -99.000000   -
       14898      -99.000000      -99.000000   -
       14902      -99.000000      -99.000000   -
       14961      -99.000000      -99.000000   -
       14962      -99.000000      -99.000000   -
       14970      -99.000000      -99.000000   -
       14993      -99.000000      -99.000000   -
       15002      -99.000000      -99.000000   -
       15030      -99.000000      -99.000000   -
       15038      -99.000000      -99.000000   -
       15050      -99.000000      -99.000000   -
       15063      -99.000000      -99.000000   -
       15073      -99.000000      -99.000000   -
       15109      -99.000000      -99.000000   -
       15138      -99.000000      -99.000000   -
       15154      -99.000000      -99.000000   -
       15178      -15.235077       41.732394   AGN
       15241      -99.000000      -99.000000   -
       15242      -99.000000      -99.000000   -
       15255      -99.000000      -99.000000   -
       15308      -99.000000      -99.000000   -
       15422      -99.000000      -99.000000   -
       15470      -99.000000      -99.000000   -
       15474      -99.000000      -99.000000   -
       15477      -99.000000      -99.000000   -
       15490      -14.931814       42.756636   AGN
       15516      -99.000000      -99.000000   -
       15535      -99.000000      -99.000000   -
       15544      -99.000000      -99.000000   -
       15580      -99.000000      -99.000000   -
       15610      -99.000000      -99.000000   -
       15616      -99.000000      -99.000000   -
       15618      -99.000000      -99.000000   -
       15627      -99.000000      -99.000000   -
       15702      -99.000000      -99.000000   -
       15721      -99.000000      -99.000000   -
       15730      -99.000000      -99.000000   -
       15744      -99.000000      -99.000000   -
       15783      -99.000000      -99.000000   -
       15796      -99.000000      -99.000000   -
       15809      -15.931814       41.096910   Galaxy
       15816      -99.000000      -99.000000   -
       15819      -99.000000      -99.000000   -
       15831      -99.000000      -99.000000   -
       15836      -99.000000      -99.000000   -
       15839      -99.000000      -99.000000   -
       15861      -99.000000      -99.000000   -
       15867      -99.000000      -99.000000   -
       15902      -99.000000      -99.000000   -
       15903      -99.000000      -99.000000   -
       15914      -99.000000      -99.000000   -
       15926      -99.000000      -99.000000   -
       15981      -99.000000      -99.000000   -
       15999      -99.000000      -99.000000   -
       16010      -99.000000      -99.000000   -
       16017      -99.000000      -99.000000   -
       16029      -99.000000      -99.000000   -
       16033      -99.000000      -99.000000   -
       16041      -99.000000      -99.000000   -
       16076      -99.000000      -99.000000   -
       16080      -99.000000      -99.000000   -
       16083      -99.000000      -99.000000   -
       16093      -99.000000      -99.000000   -
       16096      -99.000000      -99.000000   -
       16117      -99.000000      -99.000000   -
       16170      -99.000000      -99.000000   -
       16173      -99.000000      -99.000000   -
       16180      -99.000000      -99.000000   -
       16214      -99.000000      -99.000000   -
       16229      -99.000000      -99.000000   -
       16231      -99.000000      -99.000000   -
       16257      -99.000000      -99.000000   -
       16267      -99.000000      -99.000000   -
       16293      -99.000000      -99.000000   -
       16327      -99.000000      -99.000000   -
       16331      -99.000000      -99.000000   -
       16337      -99.000000      -99.000000   -
       16351      -99.000000      -99.000000   -
       16354      -99.000000      -99.000000   -
       16375      -99.000000      -99.000000   -
       16390      -99.000000      -99.000000   -
       16406      -99.000000      -99.000000   -
       16454      -99.000000      -99.000000   -
       16484      -99.000000      -99.000000   -
       16495      -99.000000      -99.000000   -
       16541      -99.000000      -99.000000   -
       16544      -99.000000      -99.000000   -
       16574      -99.000000      -99.000000   -
       16598      -99.000000      -99.000000   -
       16607      -99.000000      -99.000000   -
       16624      -99.000000      -99.000000   -
       16658      -99.000000      -99.000000   -
       16717      -99.000000      -99.000000   -
       16727      -99.000000      -99.000000   -
       16730      -99.000000      -99.000000   -
       16736      -16.216096       39.285557   Galaxy
       16751      -99.000000      -99.000000   -
       16752      -99.000000      -99.000000   -
       16753      -99.000000      -99.000000   -
       16758      -99.000000      -99.000000   -
       16774      -99.000000      -99.000000   -
       16814      -99.000000      -99.000000   -
       16849      -99.000000      -99.000000   -
       16853      -99.000000      -99.000000   -
       16867      -99.000000      -99.000000   -
       16871      -99.000000      -99.000000   -
       16872      -99.000000      -99.000000   -
       16879      -15.752027       43.499687   AGN
       16893      -99.000000      -99.000000   -
       16895      -99.000000      -99.000000   -
       16945      -99.000000      -99.000000   -
       16960      -99.000000      -99.000000   -
       16965      -99.000000      -99.000000   -
       16997      -99.000000      -99.000000   -
       17039      -99.000000      -99.000000   -
       17065      -99.000000      -99.000000   -
